model,nPedca,config,param,P50_us,P95_us,P99_us,loss_pct
onoff,15,mono-DS default,c0_q02_s01,1542.5,7902.5,12627.5,7.35
onoff,15,mono-DS best,c0_q04_s01,1407.5,7432.5,12267.5,6.14
onoff,15,dual-DS default,c0_q02_s01,1562.5,6527.5,12752.5,6.45
onoff,15,dual-DS best,c0_q03_s03,1362.5,5017.5,9837.5,2.64
onoff,30,EDCA-only,--,1517.5,8377.5,12882.5,7.85
onoff,30,mono-DS default,c0_q02_s01,1527.5,7957.5,12527.5,7.51
onoff,30,mono-DS best,c1_q00_s02,1527.5,7192.5,12187.5,4.12
onoff,30,dual-DS default,c0_q02_s01,1567.5,8472.5,14222.5,9.27
onoff,30,dual-DS best,c0_q04_s03,1627.5,7472.5,12347.5,3.43
poisson,5,EDCA-only,--,1542.5,8807.5,12562.5,6.72
poisson,5,mono-DS default,c0_q02_s01,1537.5,8337.5,12112.5,6.19
poisson,5,mono-DS best,c0_q02_s03,1457.5,7487.5,11772.5,3.71
poisson,5,dual-DS default,c0_q02_s01,1532.5,5887.5,10342.5,2.89
poisson,5,dual-DS best,c0_q01_s03,1357.5,3262.5,6612.5,0.76
poisson,15,EDCA-only,--,1542.5,8807.5,12562.5,6.72
poisson,15,mono-DS default,c0_q02_s01,1567.5,8517.5,12437.5,6.43
poisson,15,mono-DS best,c0_q00_s02,1477.5,7992.5,12017.5,3.69
poisson,15,dual-DS default,c0_q02_s01,1642.5,6907.5,11762.5,4.10
poisson,15,dual-DS best,c0_q03_s03,1672.5,7217.5,9557.5,1.11
poisson,30,EDCA-only,--,1542.5,8807.5,12562.5,6.72
poisson,30,mono-DS default,c0_q02_s01,1572.5,8612.5,12402.5,6.83
poisson,30,mono-DS best,c0_q00_s02,1557.5,8357.5,12292.5,4.63
poisson,30,dual-DS default,c0_q02_s01,1827.5,8607.5,13442.5,6.88
poisson,30,dual-DS best,c0_q04_s01,1817.5,9127.5,12552.5,4.61
